,test_cas,smiles,pubchem2d,atom_number,alone_atom_number,bonds_number,doubleBond,tripleBond,ring_number,Mol,MorganDensity,LogP,oh_count,MeltingPoint,WaterSolubility
0,50-00-0,C=O,00000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.2603650391064419,0,0.0,1,0,0,0.03338555201688986,1.5,-0.1849,0,-105.257,1.9597456133809157
1,50-06-6,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,11000000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000000000000000000000000000111000000000100000011001100000000000001100110000000010000010110000000000000000000000100010000000001000100001010100100001000000000000000000100000000000000000001000000000000000000000000010001000100000000001000000000000000010001000100010000010000000111010100010001101010100010001100001000010000000000000001010001000010100100010000010001000100000000111000110001000100011000000100011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5889091390305423,0,0.5363791942059525,3,0,2,0.5202675037018151,1.0,0.7003999999999997,0,180.149,-0.06704276183167497
2,50-29-3,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,11000000011100000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001100000000010000000000000000000000000000000000000110100000010100000000001100010100000001100000000000010000000000000000000000000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000000010100000000000010001000100000000000000000000000001010001000000010000010000000100010100000010001001100010000100000000010000000000000001000001000000000000000000010001000100000000111000000001000000011000000000011101000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4928161498861506,0,0.5602244748965176,0,0,2,0.6219856419744871,0.631578947368421,6.4955000000000025,0,103.095,-2.148107113470973
3,50-31-7,OC(=O)c1c(Cl)ccc(Cl)c1Cl,00000000011000000011000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000010000000000000100000000000000000000000110000000010100000001001100000100000001100000000100010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001001000000010100000000000010001000101001000001000000000000101011001000000010000010011000110010100000010001011000010000100000000111000100000000001001001100000000000001000010001001110100000111100010001100100000100000100011100000000000000000000100000010000000000000100000010000000000000100000000000000000000100000010000000000000100000010000000000000100000000000000000000000000000000000000000000,0.4611699480174543,0,0.4459642876951254,1,0,1,0.5131463545281488,1.1666666666666667,3.3450000000000006,1,151.344,0.6211811215868795
4,51-03-6,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,11100000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001001000000000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000100101000001001100000000011001100100000111010000000000000000000010000000000100000000000001000100000010000100000000000000000000000100000100000000000001000000010000000000000000000001000100000000000000001101000100010001000000111010010011000100010100001000011000100011010101000100011000000100010001001001100000000010001000011101010100000000111110000001110000010111100000011101010000000000000000000010000000000000000000100000100000000000000010000000000000000000010000000000000000000100000100000000000000000000000000000000000000000000000000000000,0.6978157607235724,0,0.6111093508117778,0,0,2,0.6108369637391661,0.7916666666666666,3.7177000000000016,0,34.1353,-1.117687390882956
5,51-28-5,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10000000011000110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000001000000100000000000000000000000100000001100100000011001000000000000001100001100011010000000000100000100001000000000100000010000000000100100010000100100001100000000100000100000000000000000001000000010001000000000001010001000100000000000000001110110110010001010000010100010011000100010100100101101000111010011100000000111000000000000011001001100000001010001000010001101100000000111101100000100000000000000000000000000000001000000000000000000000000000100000000000001000000000000000000001000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000,0.4928161498861506,4,0.4636208057940475,2,0,1,0.4644818973322246,1.1538461538461535,1.2086000000000003,1,119.92299999999999,0.047227244189066334
6,51-79-6,CCOC(N)=O,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000000000000000101000001000000000000010000000100000100000000000010000000000010000000000000010000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4611699480174543,0,0.2617487322191224,1,0,0,0.29068279047911616,2.0,0.10160000000000023,0,55.2987,1.622604484448828
7,52-68-6,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,11000000011000000011100000000010000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000001010000000000000100000100000000000000000000000000010101010001000000010000010000000100000000000000000000000000000001100010000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6078788182600285,1,0.4268937953357748,1,0,0,0.5450282780953449,1.3333333333333333,2.1609000000000003,1,69.5329,0.8815851061685888
8,54-21-7,[Na+].Oc1ccccc1C([O-])=O,10000000011000000011000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001001000010000000000000000010001000100000000001000001100000100011001000000010000010011100110110100000100001010100010010100000000111000101000000001001011110000000010001000010001001100110000111100010001100100000100000100011100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000,0.42463708906849196,2,0.4061629898909468,1,0,1,0.4309607814740962,1.3636363636363635,-3.240299999999998,1,162.399,0.9869454215475298
9,55-18-5,CCN(CC)N=O,11000000011000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000011000000000000000000000000000000000000000000110000010000000000000100000000100000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4928161498861506,0,0.2984757426773952,1,0,0,0.32331587155976715,1.4285714285714286,1.0095999999999998,0,22.0884,1.3711021004800283
