,n_estimators,min_samples_split,min_samples_leaf,max_depth,test_acc,test_sens,test_spec,test_f1
mod0,920,2,1,20,0.9178258586269991,0.8731426262978135,0.9456346729368377,0.8904781752187236
mod1,600,2,8,28,0.876142613385664,0.7908371893767355,0.929075021910983,0.8301515655228247
mod2,600,5,1,22,0.9143977561996094,0.86671999414157,0.9440016552472505,0.8856688064260506
mod3,360,2,8,28,0.8765400918872052,0.7904576876715875,0.929964057554067,0.8305380817592809
mod4,840,2,1,10,0.8704789057461901,0.7567766840074304,0.940990133364247,0.81722301131
mod5,600,2,8,26,0.8760929239446702,0.7904875679897956,0.9292444739569415,0.8300391893297855
mod6,840,5,8,26,0.8759438062531434,0.7911546838345098,0.9285875108530591,0.830007100980018
mod7,360,5,4,14,0.8784279697494238,0.794371679005063,0.930597547752415,0.8333966118868721
mod8,680,2,4,12,0.8723668082926815,0.774671069346678,0.9330068804728319,0.8228951324310353
mod9,920,10,1,20,0.9035671489356449,0.8470676463826216,0.9386715648759255,0.8705316877157754
mod10,840,10,2,12,0.8757948490093893,0.7814438645257313,0.9343731371129718,0.828094604654409
mod11,360,10,2,22,0.8974561129058636,0.840571952670046,0.9327960816104316,0.8625239451173516
mod12,680,10,8,18,0.8755960789032777,0.7886781331423338,0.9295653418628309,0.8291536117865397
mod13,280,10,8,14,0.871919455218101,0.7764248102934868,0.9311470775011312,0.8227034940284618
mod14,280,2,16,22,0.8651627279824001,0.7616700620874858,0.9293809698336378,0.8121966448839204
mod15,280,2,4,22,0.88657576683236,0.818750337762653,0.9286625533617178,0.8467694325702787
mod16,520,2,4,14,0.8787756847571531,0.7963090873800496,0.9299334543214606,0.8341391851342388
mod17,680,2,32,16,0.8485690341969743,0.7161919157715009,0.9306826301707967,0.7835338615944767
mod18,680,2,1,26,0.9262221275991767,0.88674225128547,0.9507712163212954,0.901926368045093
mod19,600,2,4,18,0.8835452046171932,0.8102895768841935,0.9289713934399018,0.8419278997830745
