,variable,importance
0,LogP,0.044109975346144706
1,WaterSolubility,0.03773567153341668
2,Mol,0.03502587441267731
3,bonds_number,0.026585888079048076
4,atom_number,0.01937420664583968
5,MorganDensity,0.01863025939688742
6,MeltingPoint,0.014351815036955672
7,pub336,0.011211460566723485
8,obs_duration_mean_96.0,0.010267935449135858
9,ring_number,0.008763998759953968
10,pub39,0.008730197153200479
11,control_type_C,0.008499181632923566
12,pub40,0.008375319196879758
13,obs_duration_mean_24.0,0.00837318442950962
14,exposure_type_S,0.007780936490881748
15,conc1_type_A,0.007438614194582484
16,conc1_type_F,0.007338486094080717
17,doubleBond,0.00668678187434767
18,family_Cyprinidae,0.006559521419961463
19,tax_order_Cypriniformes,0.00640347745920852
20,pub713,0.006257960910018014
21,obs_duration_mean_48.0,0.006131403131321974
22,pub551,0.0061090059158786765
23,pub592,0.006003899088026305
24,control_type_I,0.005978729686377922
25,pub361,0.005925276884499515
26,control_type_Unknown,0.005796628593738091
27,application_freq_unit_X,0.005279955228082402
28,pub343,0.005218537506802955
29,pub530,0.005147800550995385
30,alone_atom_number,0.004918278936767345
31,tax_order_Salmoniformes,0.00486188764636671
32,pub698,0.004857858986001588
33,pub295,0.00476246971766234
34,family_Salmonidae,0.004754261326907803
35,exposure_type_F,0.004674518637449782
36,tax_order_Perciformes,0.004658714900607125
37,application_freq_unit_CON,0.0046130769203503305
38,species_mykiss,0.0045323452329602935
39,exposure_type_AQUA,0.004361884542610638
40,pub12,0.004356735077722591
41,pub38,0.004349912636084183
42,media_type_FW,0.0042913811670580075
43,genus_Oncorhynchus,0.004190705349858787
44,exposure_type_R,0.004108738115220662
45,media_type_SW,0.0040713026325723605
46,pub682,0.004042505036448188
47,pub879,0.004000266509591112
48,family_Centrarchidae,0.003819560414393912
49,control_type_S,0.003661077822751808
50,pub844,0.003579855407742128
51,tax_order_Cyprinodontiformes,0.0035322975505658613
52,control_type_K,0.0035125057939649935
53,genus_Lepomis,0.003474229358205328
54,species_macrochirus,0.0033021766904112707
55,pub186,0.0032566441056728172
56,control_type_V,0.0032419897002723746
57,pub187,0.0032231741429560963
58,tax_order_Siluriformes,0.003204352159134348
59,pub117,0.00319585313379997
60,pub697,0.0031299003160202
61,pub861,0.003119743232992007
62,pub13,0.0030830234172307546
63,pub347,0.003053879128916213
64,pub795,0.003051682628189418
65,pub394,0.0030038726225367404
66,pub858,0.0029627160027955435
67,pub3,0.002931106913875658
68,pub408,0.0028919496873086423
69,pub144,0.0028735390145302646
70,species_promelas,0.002869285697911906
71,genus_Pimephales,0.002850929330937754
72,obs_duration_mean_72.0,0.0028300968689754687
73,pub35,0.002681748226271378
74,pub116,0.002658499077027218
75,pub300,0.0025985811494371592
76,pub284,0.0025975730026473547
77,pub258,0.002548927857282813
78,pub34,0.002524271558669628
79,pub865,0.002499281566366387
80,pub517,0.0024976856641521572
81,pub334,0.002481861854903009
82,pub600,0.002445477812522828
83,pub837,0.002373953194312416
84,family_Poeciliidae,0.0023450340864827795
85,pub31,0.0023226116203900085
86,pub541,0.002296459378981505
87,pub375,0.0022837147926614764
88,pub709,0.0022653396250634575
89,oh_count,0.0022252627653446466
90,pub420,0.002217654763308767
91,control_type_M,0.002193515234542015
92,family_Ictaluridae,0.002180254700945187
93,pub710,0.002151647015232805
94,pub366,0.0021422841079407977
95,pub21,0.0021361830576358573
96,pub580,0.0021259478238249575
97,pub699,0.0020779400916943157
98,genus_Ictalurus,0.0020636978376393795
99,pub294,0.002059366110627514
100,pub2,0.0020270351566669424
101,pub381,0.002026751611183149
102,pub444,0.0019902701661477316
103,species_punctatus,0.001956518697926377
104,pub20,0.0019551495968700085
105,pub421,0.001951353575324126
106,pub711,0.0019496548585908613
107,tripleBond,0.001938045169562406
108,pub412,0.0019346286267015649
109,pub367,0.0019027342616482529
110,pub391,0.0018692980675905837
111,family_Cyprinodontidae,0.001850849823456148
112,species_carpio,0.0018493053860566292
113,pub447,0.0018145783997797387
114,pub536,0.00181282491659217
115,pub369,0.0017994199808150381
116,pub685,0.0017945686053376481
117,pub680,0.0017914025701749028
118,pub453,0.001772569750608131
119,genus_Cyprinus,0.0017716583812201771
120,pub816,0.0017686165021616191
121,pub406,0.0017618625204207877
122,pub286,0.0017452071935487288
123,pub315,0.0017226590919457029
124,pub525,0.0017129082437609248
125,pub435,0.0016732710248196553
126,pub700,0.0016697284018156386
127,pub840,0.0016648174277270114
128,pub16,0.0016638766539654613
129,pub371,0.0016594862558233414
130,pub504,0.0016385090604348312
131,pub441,0.0016366858340410928
132,pub15,0.0016293161305511994
133,pub309,0.0016198054346064006
134,pub431,0.0016121119189617
135,pub667,0.0016031242366955872
136,genus_Poecilia,0.0015984035078301568
137,pub1,0.0015827734133314183
138,species_reticulata,0.0015624291076875257
139,pub407,0.0015372226049910087
140,pub679,0.001534829692043536
141,genus_Carassius,0.001514483409291857
142,application_freq_unit_E X H,0.0015135006450208248
143,pub345,0.0015124915420669516
144,pub151,0.0015048490839742845
145,pub442,0.0014917136295511048
146,pub554,0.0014824018289145715
147,pub712,0.001472884913430692
148,pub688,0.0014675461333630649
149,pub661,0.0014669548865175537
150,pub615,0.0014381458206108994
151,pub145,0.0014291146940929816
152,pub595,0.001419333111737321
153,pub19,0.0014153945433621948
154,pub673,0.0014126229321488489
155,pub583,0.0014047995206953672
156,pub354,0.001397267024053116
157,genus_Gambusia,0.0013877380828852656
158,pub353,0.0013784485063057922
159,species_affinis,0.0013763325937821505
160,species_auratus,0.001373858684037355
161,pub689,0.001359896038842542
162,pub633,0.0013520168778080196
163,pub342,0.0013458078964334386
164,pub352,0.0013286075762813864
165,pub599,0.001318511937700835
166,pub372,0.0013069536411738929
167,pub346,0.001297053533571916
168,pub638,0.0012877124101319277
169,pub242,0.0012712927186925998
170,family_Cichlidae,0.0012696056252262606
171,pub335,0.0012644571760752651
172,species_rerio,0.0012542565038136835
173,genus_Oreochromis,0.001239642302744727
174,pub557,0.0012377508635938493
175,pub340,0.0012368788635793867
176,pub614,0.0012365694932754238
177,pub621,0.0012237609904000553
178,pub566,0.001222688402330187
179,pub543,0.0012088824293647505
180,pub781,0.0012064851684805027
181,pub287,0.0011990653196350478
182,pub744,0.0011857726273776755
183,genus_Danio,0.0011834002094835852
184,species_kisutch,0.0011771960264781378
185,genus_Cyprinodon,0.0011755048923383046
186,pub491,0.0011752332907291852
187,pub11,0.0011745364182260988
188,pub417,0.0011737282370427975
189,pub574,0.0011706204040611988
190,pub652,0.0011663008211340803
191,pub644,0.0011649547841053425
192,pub363,0.001160618694644699
193,pub480,0.001156475548981308
194,pub179,0.0011562344765450368
195,pub249,0.0011496385830524899
196,family_Clariidae,0.0011484477552898495
197,pub452,0.001146254146086507
198,pub684,0.001139243308733954
199,genus_Clarias,0.0011323363717184228
200,pub502,0.0011290263878369889
201,pub736,0.0011287816670428592
202,pub430,0.0011287725420785542
203,pub341,0.0011246621242459816
204,pub618,0.0011224250391917582
205,pub569,0.0011187944894400022
206,species_variegatus,0.001117949960372567
207,pub593,0.0011175549188716396
208,pub529,0.001116245577941108
209,pub677,0.001110494263772238
210,pub392,0.001109952238153155
211,pub605,0.001102179356913965
212,pub333,0.0010941497969887402
213,pub756,0.0010883482585522472
214,pub820,0.001087938322843966
215,pub180,0.0010725462635804439
216,pub757,0.0010678101798577398
217,pub657,0.001067726416943875
218,pub693,0.001066857490567981
219,family_Channidae,0.0010560168535583999
220,pub672,0.0010542857806365724
221,genus_Heteropneustes,0.0010538010307122032
222,pub499,0.0010518089911166649
223,pub718,0.001038617657150216
224,pub690,0.0010353027984709828
225,pub620,0.0010351581856003747
226,pub228,0.0010323994508526248
227,pub607,0.0010252080135111483
228,pub542,0.0010237166192073796
229,pub723,0.001014246409617765
230,genus_Channa,0.001008096151908789
231,pub582,0.0010059580632824443
232,pub465,0.001005510149002153
233,pub152,0.0010041550689094281
234,pub229,0.0010015502258461347
235,pub527,0.0009983377955709721
236,pub165,0.0009975680703025842
237,pub396,0.0009967055901457138
238,pub627,0.0009954667312034842
239,pub357,0.000988893293432922
240,pub774,0.0009843936156877457
241,pub383,0.0009813673753579155
242,genus_Barbus,0.0009780462922759972
243,pub819,0.0009741385763315695
244,pub647,0.000972372559370396
245,pub799,0.0009715178403222084
246,conc1_type_T,0.0009690030092820008
247,pub350,0.000968610927476274
248,pub552,0.0009675179450130489
249,pub549,0.0009548412458566275
250,pub393,0.000952171206880633
251,pub376,0.0009495149474662081
252,pub643,0.000941346269924952
253,pub590,0.0009327737143793785
254,pub642,0.000931774229291573
255,pub641,0.0009266691970313856
256,family_Heteropneustidae,0.0009245212660506244
257,species_niloticus,0.0009233268569080789
258,pub575,0.0009198649336347299
259,pub598,0.0009186709374486605
260,pub732,0.0009145421763903496
261,pub386,0.0009145239914553542
262,pub440,0.0009121037529211408
